,datum,uhrzeit,wett,runde,tag,spielort,ergebnis,tf,tk,gegner,xg,xga,besitz,zuschauerzahl,kapitän,aufstellung,schiedsrichter,spielbericht,hinweise,sc,sat,entf.,fs,elf,veelf,saison,verein
1,19.08.2023,15:30,Bundesliga,Spielwoche 1,Sa.,Heim,S,3.0,2.0,RB Leipzig,1.4,1.6,44.0,29.464,Lukáš Hrádecký,3-4-3,Felix Brych,Spielbericht,,11.0,7.0,190.0,0.0,0.0,0.0,2024,Bayer Leverkusen
2,26.08.2023,18:30,Bundesliga,Spielwoche 2,Sa.,Auswärts,S,3.0,0.0,M'Gladbach,2.7,0.9,60.0,54.042,Lukáš Hrádecký,3-4-3,Christian Dingert,Spielbericht,,24.0,11.0,158.0,0.0,0.0,0.0,2024,Bayer Leverkusen
3,02.09.2023,15:30,Bundesliga,Spielwoche 3,Sa.,Heim,S,5.0,1.0,Darmstadt 98,2.8,0.4,72.0,29.653,Lukáš Hrádecký,3-4-3,Sven Jablonski,Spielbericht,,25.0,13.0,173.0,1.0,0.0,0.0,2024,Bayer Leverkusen
4,15.09.2023,20:30,Bundesliga,Spielwoche 4,Fr.,Auswärts,U,2.0,2.0,Bayern München,2.1,2.1,49.0,75.0,Lukáš Hrádecký,3-4-3,Daniel Schlager,Spielbericht,,12.0,4.0,207.0,1.0,1.0,1.0,2024,Bayer Leverkusen
6,24.09.2023,15:30,Bundesliga,Spielwoche 5,So.,Heim,S,4.0,1.0,Heidenheim,3.4,0.5,71.0,29.557,Lukáš Hrádecký,3-4-3,Christian Dingert,Spielbericht,,20.0,9.0,167.0,0.0,1.0,1.0,2024,Bayer Leverkusen
7,30.09.2023,15:30,Bundesliga,Spielwoche 6,Sa.,Auswärts,S,3.0,0.0,Mainz 05,1.1,0.5,55.0,33.305,Lukáš Hrádecký,3-4-3,Benjamin Brand,Spielbericht,,6.0,3.0,206.0,2.0,0.0,0.0,2024,Bayer Leverkusen
9,08.10.2023,15:30,Bundesliga,Spielwoche 7,So.,Heim,S,3.0,0.0,Köln,3.2,1.3,64.0,30.21,Lukáš Hrádecký,3-4-3,Felix Zwayer,Spielbericht,,23.0,10.0,166.0,0.0,0.0,0.0,2024,Bayer Leverkusen
10,21.10.2023,15:30,Bundesliga,Spielwoche 8,Sa.,Auswärts,S,2.0,1.0,Wolfsburg,1.9,1.4,58.0,28.917,Lukáš Hrádecký,3-4-3,Marco Fritz,Spielbericht,,13.0,7.0,141.0,0.0,0.0,0.0,2024,Bayer Leverkusen
12,29.10.2023,17:30,Bundesliga,Spielwoche 9,So.,Heim,S,2.0,1.0,Freiburg,1.4,0.9,70.0,30.21,Lukáš Hrádecký,3-4-3,Daniel Siebert,Spielbericht,,18.0,4.0,205.0,1.0,0.0,0.0,2024,Bayer Leverkusen
14,04.11.2023,15:30,Bundesliga,Spielwoche 10,Sa.,Auswärts,S,3.0,2.0,Hoffenheim,1.0,1.7,53.0,30.15,Lukáš Hrádecký,3-4-3,Frank Willenborg,Spielbericht,,9.0,5.0,178.0,0.0,0.0,0.0,2024,Bayer Leverkusen
16,12.11.2023,15:30,Bundesliga,Spielwoche 11,So.,Heim,S,4.0,0.0,Union Berlin,2.4,0.0,69.0,29.387,Lukáš Hrádecký,3-4-3,Timo Gerach,Spielbericht,,18.0,10.0,156.0,1.0,0.0,0.0,2024,Bayer Leverkusen
17,25.11.2023,15:30,Bundesliga,Spielwoche 12,Sa.,Auswärts,S,3.0,0.0,Werder Bremen,1.0,0.2,59.0,42.1,Lukáš Hrádecký,3-4-3,Martin Petersen,Spielbericht,,14.0,4.0,168.0,0.0,0.0,0.0,2024,Bayer Leverkusen
19,03.12.2023,17:30,Bundesliga,Spielwoche 13,So.,Heim,U,1.0,1.0,Dortmund,2.1,0.7,69.0,30.21,Lukáš Hrádecký,3-4-3,Daniel Siebert,Spielbericht,,23.0,6.0,203.0,1.0,0.0,0.0,2024,Bayer Leverkusen
21,10.12.2023,15:30,Bundesliga,Spielwoche 14,So.,Auswärts,U,1.0,1.0,Stuttgart,1.3,2.6,48.0,54.5,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Spielbericht,,18.0,5.0,149.0,0.0,0.0,0.0,2024,Bayer Leverkusen
23,17.12.2023,17:30,Bundesliga,Spielwoche 15,So.,Heim,S,3.0,0.0,Eint Frankfurt,2.5,0.2,61.0,30.21,Lukáš Hrádecký,3-4-3,Christian Dingert,Spielbericht,,14.0,5.0,161.0,1.0,0.0,0.0,2024,Bayer Leverkusen
24,20.12.2023,20:30,Bundesliga,Spielwoche 16,Mi.,Heim,S,4.0,0.0,Bochum,3.3,0.4,69.0,30.21,Lukáš Hrádecký,3-4-1-2,Daniel Schlager,Spielbericht,,15.0,7.0,139.0,0.0,1.0,1.0,2024,Bayer Leverkusen
25,13.01.2024,15:30,Bundesliga,Spielwoche 17,Sa.,Auswärts,S,1.0,0.0,Augsburg,2.0,0.4,76.0,30.055,Lukáš Hrádecký,3-4-1-2,Sven Jablonski,Spielbericht,,24.0,6.0,179.0,0.0,0.0,0.0,2024,Bayer Leverkusen
26,20.01.2024,18:30,Bundesliga,Spielwoche 18,Sa.,Auswärts,S,3.0,2.0,RB Leipzig,2.0,1.6,60.0,46.529,Lukáš Hrádecký,3-4-3,Matthias Jöllenbeck,Spielbericht,,18.0,5.0,158.0,0.0,0.0,0.0,2024,Bayer Leverkusen
27,27.01.2024,18:30,Bundesliga,Spielwoche 19,Sa.,Heim,U,0.0,0.0,M'Gladbach,2.9,0.3,75.0,30.21,Robert Andrich,3-4-3,Deniz Aytekin,Spielbericht,,28.0,9.0,188.0,0.0,0.0,0.0,2024,Bayer Leverkusen
28,03.02.2024,15:30,Bundesliga,Spielwoche 20,Sa.,Auswärts,S,2.0,0.0,Darmstadt 98,1.9,0.6,67.0,17.81,Lukáš Hrádecký,3-4-3,Tobias Reichel,Spielbericht,,20.0,7.0,181.0,0.0,0.0,0.0,2024,Bayer Leverkusen
30,10.02.2024,18:30,Bundesliga,Spielwoche 21,Sa.,Heim,S,3.0,0.0,Bayern München,1.3,0.6,39.0,30.21,Lukáš Hrádecký,3-4-3,Felix Zwayer,Spielbericht,,14.0,8.0,164.0,0.0,0.0,0.0,2024,Bayer Leverkusen
31,17.02.2024,15:30,Bundesliga,Spielwoche 22,Sa.,Auswärts,S,2.0,1.0,Heidenheim,1.9,0.4,61.0,15.0,Lukáš Hrádecký,3-4-1-2,Harm Osmers,Spielbericht,,18.0,3.0,157.0,0.0,0.0,0.0,2024,Bayer Leverkusen
32,23.02.2024,20:30,Bundesliga,Spielwoche 23,Fr.,Heim,S,2.0,1.0,Mainz 05,1.1,1.1,67.0,30.21,Lukáš Hrádecký,3-4-3,Timo Gerach,Spielbericht,,17.0,7.0,198.0,1.0,0.0,0.0,2024,Bayer Leverkusen
33,03.03.2024,15:30,Bundesliga,Spielwoche 24,So.,Auswärts,S,2.0,0.0,Köln,1.5,1.0,77.0,50.0,Lukáš Hrádecký,3-4-3,Tobias Stieler,Spielbericht,,17.0,5.0,169.0,2.0,0.0,0.0,2024,Bayer Leverkusen
35,10.03.2024,19:30,Bundesliga,Spielwoche 25,So.,Heim,S,2.0,0.0,Wolfsburg,2.1,0.2,76.0,29.314,Lukáš Hrádecký,3-4-3,Daniel Siebert,Spielbericht,,19.0,8.0,195.0,1.0,0.0,0.0,2024,Bayer Leverkusen
37,17.03.2024,15:30,Bundesliga,Spielwoche 26,So.,Auswärts,S,3.0,2.0,Freiburg,2.3,0.9,67.0,34.7,Lukáš Hrádecký,3-4-3,Harm Osmers,Spielbericht,,19.0,7.0,166.0,1.0,0.0,0.0,2024,Bayer Leverkusen
38,30.03.2024,15:30,Bundesliga,Spielwoche 27,Sa.,Heim,S,2.0,1.0,Hoffenheim,3.1,0.8,67.0,30.21,Lukáš Hrádecký,3-4-3,Deniz Aytekin,Spielbericht,,34.0,11.0,170.0,1.0,0.0,0.0,2024,Bayer Leverkusen
40,06.04.2024,15:30,Bundesliga,Spielwoche 28,Sa.,Auswärts,S,1.0,0.0,Union Berlin,2.8,0.3,65.0,22.012,Lukáš Hrádecký,3-4-3,Benjamin Brand,Spielbericht,,19.0,7.0,181.0,1.0,1.0,1.0,2024,Bayer Leverkusen
42,14.04.2024,17:30,Bundesliga,Spielwoche 29,So.,Heim,S,5.0,0.0,Werder Bremen,3.2,0.7,56.0,30.21,Lukáš Hrádecký,3-4-3,Harm Osmers,Spielbericht,,19.0,9.0,162.0,0.0,1.0,1.0,2024,Bayer Leverkusen
44,21.04.2024,17:30,Bundesliga,Spielwoche 30,So.,Auswärts,U,1.0,1.0,Dortmund,1.1,0.5,52.0,81.365,Lukáš Hrádecký,3-4-3,Daniel Siebert,Spielbericht,,13.0,3.0,194.0,3.0,0.0,0.0,2024,Bayer Leverkusen
45,27.04.2024,18:30,Bundesliga,Spielwoche 31,Sa.,Heim,,,,Stuttgart,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayer Leverkusen
47,05.05.2024,17:30,Bundesliga,Spielwoche 32,So.,Auswärts,,,,Eint Frankfurt,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayer Leverkusen
49,12.05.2024,19:30,Bundesliga,Spielwoche 33,So.,Auswärts,,,,Bochum,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayer Leverkusen
50,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Heim,,,,Augsburg,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayer Leverkusen
1,18.08.2023,20:30,Bundesliga,Spielwoche 1,Fr.,Auswärts,S,4.0,0.0,Werder Bremen,2.8,0.6,72.0,42.1,Joshua Kimmich,4-2-3-1,Felix Zwayer,Spielbericht,,25.0,10.0,191.0,1.0,0.0,0.0,2024,Bayern Munich
2,27.08.2023,17:30,Bundesliga,Spielwoche 2,So.,Heim,S,3.0,1.0,Augsburg,2.8,0.7,61.0,75.0,Joshua Kimmich,4-2-3-1,Daniel Siebert,Spielbericht,,18.0,4.0,190.0,0.0,1.0,1.0,2024,Bayern Munich
3,02.09.2023,18:30,Bundesliga,Spielwoche 3,Sa.,Auswärts,S,2.0,1.0,M'Gladbach,2.4,0.3,65.0,54.042,Thomas Müller,4-2-3-1,Deniz Aytekin,Spielbericht,,25.0,7.0,150.0,0.0,0.0,0.0,2024,Bayern Munich
4,15.09.2023,20:30,Bundesliga,Spielwoche 4,Fr.,Heim,U,2.0,2.0,Leverkusen,2.1,2.1,51.0,75.0,Thomas Müller,4-2-3-1,Daniel Schlager,Spielbericht,,16.0,9.0,131.0,0.0,0.0,0.0,2024,Bayern Munich
6,23.09.2023,15:30,Bundesliga,Spielwoche 5,Sa.,Heim,S,7.0,0.0,Bochum,4.8,0.1,62.0,75.0,Joshua Kimmich,4-2-3-1,Robert Hartmann,Spielbericht,,25.0,14.0,147.0,0.0,1.0,1.0,2024,Bayern Munich
8,30.09.2023,18:30,Bundesliga,Spielwoche 6,Sa.,Auswärts,U,2.0,2.0,RB Leipzig,2.3,0.7,65.0,47.069,Joshua Kimmich,4-2-3-1,Marco Fritz,Spielbericht,,10.0,4.0,211.0,1.0,1.0,1.0,2024,Bayern Munich
10,08.10.2023,17:30,Bundesliga,Spielwoche 7,So.,Heim,S,3.0,0.0,Freiburg,2.4,0.1,69.0,75.0,Thomas Müller,4-2-3-1,Robert Schröder,Spielbericht,,21.0,6.0,177.0,0.0,0.0,0.0,2024,Bayern Munich
11,21.10.2023,18:30,Bundesliga,Spielwoche 8,Sa.,Auswärts,S,3.0,1.0,Mainz 05,1.8,1.1,62.0,33.305,Joshua Kimmich,4-2-3-1,Sascha Stegemann,Spielbericht,,13.0,5.0,173.0,0.0,0.0,0.0,2024,Bayern Munich
13,28.10.2023,15:30,Bundesliga,Spielwoche 9,Sa.,Heim,S,8.0,0.0,Darmstadt 98,5.8,0.7,54.0,75.0,Manuel Neuer,4-2-3-1,Martin Petersen,Spielbericht,,29.0,16.0,171.0,3.0,0.0,0.0,2024,Bayern Munich
15,04.11.2023,18:30,Bundesliga,Spielwoche 10,Sa.,Auswärts,S,4.0,0.0,Dortmund,3.2,1.0,51.0,81.365,Manuel Neuer,4-2-3-1,Deniz Aytekin,Spielbericht,,14.0,8.0,122.0,0.0,0.0,0.0,2024,Bayern Munich
17,11.11.2023,15:30,Bundesliga,Spielwoche 11,Sa.,Heim,S,4.0,2.0,Heidenheim,2.0,0.9,72.0,75.0,Manuel Neuer,4-2-3-1,Harm Osmers,Spielbericht,,19.0,8.0,138.0,0.0,0.0,0.0,2024,Bayern Munich
18,24.11.2023,20:30,Bundesliga,Spielwoche 12,Fr.,Auswärts,S,1.0,0.0,Köln,3.5,0.2,68.0,50.0,Manuel Neuer,4-2-3-1,Marco Fritz,Spielbericht,,21.0,4.0,127.0,0.0,0.0,0.0,2024,Bayern Munich
20,09.12.2023,15:30,Bundesliga,Spielwoche 14,Sa.,Auswärts,N,1.0,5.0,Eint Frankfurt,2.1,1.3,64.0,58.0,Manuel Neuer,4-2-3-1,Felix Zwayer,Spielbericht,,20.0,4.0,149.0,0.0,0.0,0.0,2024,Bayern Munich
22,17.12.2023,19:30,Bundesliga,Spielwoche 15,So.,Heim,S,3.0,0.0,Stuttgart,2.8,0.4,38.0,75.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Spielbericht,,17.0,8.0,143.0,1.0,0.0,0.0,2024,Bayern Munich
23,20.12.2023,20:30,Bundesliga,Spielwoche 16,Mi.,Auswärts,S,2.0,1.0,Wolfsburg,2.5,0.3,61.0,28.917,Manuel Neuer,4-2-3-1,Sascha Stegemann,Spielbericht,,21.0,7.0,179.0,2.0,0.0,0.0,2024,Bayern Munich
24,12.01.2024,20:30,Bundesliga,Spielwoche 17,Fr.,Heim,S,3.0,0.0,Hoffenheim,2.8,1.2,61.0,75.0,Manuel Neuer,4-2-3-1,Benjamin Brand,Spielbericht,,27.0,11.0,176.0,0.0,0.0,0.0,2024,Bayern Munich
25,21.01.2024,15:30,Bundesliga,Spielwoche 18,So.,Heim,N,0.0,1.0,Werder Bremen,1.9,0.4,68.0,75.0,Manuel Neuer,4-2-3-1,Marco Fritz,Spielbericht,,22.0,7.0,156.0,1.0,0.0,0.0,2024,Bayern Munich
26,24.01.2024,20:30,Bundesliga,Spielwoche 13,Mi.,Heim,S,1.0,0.0,Union Berlin,2.1,0.2,72.0,75.0,Manuel Neuer,4-2-3-1,Frank Willenborg,Spielbericht,,22.0,10.0,166.0,0.0,0.0,0.0,2024,Bayern Munich
27,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Auswärts,S,3.0,2.0,Augsburg,2.3,2.6,58.0,30.66,Manuel Neuer,4-2-3-1,Christian Dingert,Spielbericht,,13.0,4.0,142.0,0.0,0.0,0.0,2024,Bayern Munich
28,03.02.2024,15:30,Bundesliga,Spielwoche 20,Sa.,Heim,S,3.0,1.0,M'Gladbach,2.1,1.0,55.0,75.0,Manuel Neuer,4-2-3-1,Tobias Stieler,Spielbericht,,20.0,6.0,179.0,1.0,0.0,0.0,2024,Bayern Munich
29,10.02.2024,18:30,Bundesliga,Spielwoche 21,Sa.,Auswärts,N,0.0,3.0,Leverkusen,0.6,1.3,61.0,30.21,Manuel Neuer,3-4-3,Felix Zwayer,Spielbericht,,9.0,1.0,172.0,0.0,0.0,0.0,2024,Bayern Munich
31,18.02.2024,17:30,Bundesliga,Spielwoche 22,So.,Auswärts,N,2.0,3.0,Bochum,3.3,1.7,68.0,26.0,Manuel Neuer,4-2-3-1,Daniel Schlager,Spielbericht,,27.0,9.0,146.0,0.0,0.0,0.0,2024,Bayern Munich
32,24.02.2024,18:30,Bundesliga,Spielwoche 23,Sa.,Heim,S,2.0,1.0,RB Leipzig,1.5,0.9,57.0,75.0,Manuel Neuer,4-2-3-1,Sascha Stegemann,Spielbericht,,16.0,4.0,163.0,0.0,0.0,0.0,2024,Bayern Munich
33,01.03.2024,20:30,Bundesliga,Spielwoche 24,Fr.,Auswärts,U,2.0,2.0,Freiburg,1.8,1.5,62.0,34.7,Manuel Neuer,4-2-3-1,Sven Jablonski,Spielbericht,,20.0,7.0,146.0,0.0,0.0,0.0,2024,Bayern Munich
35,09.03.2024,15:30,Bundesliga,Spielwoche 25,Sa.,Heim,S,8.0,1.0,Mainz 05,6.2,0.8,59.0,75.0,Manuel Neuer,4-2-3-1,Patrick Ittrich,Spielbericht,,24.0,11.0,116.0,0.0,0.0,0.0,2024,Bayern Munich
36,16.03.2024,15:30,Bundesliga,Spielwoche 26,Sa.,Auswärts,S,5.0,2.0,Darmstadt 98,3.6,1.2,76.0,17.81,Manuel Neuer,4-2-3-1,Tobias Reichel,Spielbericht,,27.0,6.0,146.0,0.0,0.0,0.0,2024,Bayern Munich
37,30.03.2024,18:30,Bundesliga,Spielwoche 27,Sa.,Heim,N,0.0,2.0,Dortmund,1.5,0.9,61.0,75.0,Thomas Müller,4-2-3-1,Harm Osmers,Spielbericht,,17.0,1.0,139.0,0.0,0.0,0.0,2024,Bayern Munich
38,06.04.2024,15:30,Bundesliga,Spielwoche 28,Sa.,Auswärts,N,2.0,3.0,Heidenheim,1.9,1.4,67.0,15.0,Thomas Müller,4-2-3-1,Robert Schröder,Spielbericht,,15.0,7.0,144.0,0.0,0.0,0.0,2024,Bayern Munich
40,13.04.2024,15:30,Bundesliga,Spielwoche 29,Sa.,Heim,S,2.0,0.0,Köln,2.2,0.9,69.0,75.0,Thomas Müller,4-2-3-1,Frank Willenborg,Spielbericht,,16.0,6.0,149.0,0.0,0.0,0.0,2024,Bayern Munich
42,20.04.2024,18:30,Bundesliga,Spielwoche 30,Sa.,Auswärts,S,5.0,1.0,Union Berlin,1.4,1.4,63.0,22.012,Manuel Neuer,4-2-3-1,Sven Jablonski,Spielbericht,,19.0,9.0,165.0,1.0,0.0,0.0,2024,Bayern Munich
43,27.04.2024,15:30,Bundesliga,Spielwoche 31,Sa.,Heim,,,,Eint Frankfurt,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayern Munich
45,04.05.2024,15:30,Bundesliga,Spielwoche 32,Sa.,Auswärts,,,,Stuttgart,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayern Munich
47,12.05.2024,17:30,Bundesliga,Spielwoche 33,So.,Heim,,,,Wolfsburg,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayern Munich
48,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Auswärts,,,,Hoffenheim,,,,,,,,Direkter Vergleich,,,,,,,,2024,Bayern Munich
1,19.08.2023,15:30,Bundesliga,Spielwoche 1,Sa.,Heim,S,5.0,0.0,Bochum,3.0,0.8,60.0,53.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Spielbericht,,21.0,9.0,166.0,0.0,0.0,0.0,2024,Stuttgart
2,25.08.2023,20:30,Bundesliga,Spielwoche 2,Fr.,Auswärts,N,1.0,5.0,RB Leipzig,1.1,1.8,46.0,46.084,Waldemar Anton,4-2-3-1,Frank Willenborg,Spielbericht,,9.0,3.0,171.0,0.0,0.0,0.0,2024,Stuttgart
3,02.09.2023,15:30,Bundesliga,Spielwoche 3,Sa.,Heim,S,5.0,0.0,Freiburg,1.7,1.0,48.0,54.3,Waldemar Anton,4-2-3-1,Felix Brych,Spielbericht,,13.0,6.0,191.0,0.0,0.0,0.0,2024,Stuttgart
4,16.09.2023,15:30,Bundesliga,Spielwoche 4,Sa.,Auswärts,S,3.0,1.0,Mainz 05,1.6,0.9,60.0,30.5,Waldemar Anton,4-2-3-1,Harm Osmers,Spielbericht,,15.0,6.0,215.0,1.0,0.0,0.0,2024,Stuttgart
5,22.09.2023,20:30,Bundesliga,Spielwoche 5,Fr.,Heim,S,3.0,1.0,Darmstadt 98,2.3,0.2,58.0,54.0,Waldemar Anton,4-2-3-1,Matthias Jöllenbeck,Spielbericht,,18.0,11.0,163.0,0.0,0.0,0.0,2024,Stuttgart
6,30.09.2023,15:30,Bundesliga,Spielwoche 6,Sa.,Auswärts,S,2.0,0.0,Köln,2.5,0.7,60.0,50.0,Waldemar Anton,4-2-3-1,Tobias Stieler,Spielbericht,,18.0,4.0,162.0,0.0,0.0,0.0,2024,Stuttgart
7,07.10.2023,15:30,Bundesliga,Spielwoche 7,Sa.,Heim,S,3.0,1.0,Wolfsburg,2.7,1.2,59.0,52.0,Waldemar Anton,4-2-3-1,Daniel Siebert,Spielbericht,,13.0,7.0,206.0,0.0,1.0,1.0,2024,Stuttgart
8,21.10.2023,15:30,Bundesliga,Spielwoche 8,Sa.,Auswärts,S,3.0,0.0,Union Berlin,1.4,0.6,57.0,22.012,Waldemar Anton,4-2-3-1,Bastian Dankert,Spielbericht,,10.0,5.0,169.0,0.0,0.0,0.0,2024,Stuttgart
9,28.10.2023,15:30,Bundesliga,Spielwoche 9,Sa.,Heim,N,2.0,3.0,Hoffenheim,3.6,1.7,73.0,53.2,Waldemar Anton,4-2-3-1,Felix Zwayer,Spielbericht,,22.0,9.0,182.0,0.0,0.0,1.0,2024,Stuttgart
11,05.11.2023,17:30,Bundesliga,Spielwoche 10,So.,Auswärts,N,0.0,2.0,Heidenheim,2.6,1.2,68.0,15.0,Waldemar Anton,4-2-3-1,Florian Badstübner,Spielbericht,,16.0,1.0,164.0,2.0,0.0,1.0,2024,Stuttgart
12,11.11.2023,15:30,Bundesliga,Spielwoche 11,Sa.,Heim,S,2.0,1.0,Dortmund,4.2,1.0,59.0,55.0,Waldemar Anton,4-2-2-2,Tobias Stieler,Spielbericht,,20.0,8.0,148.0,0.0,1.0,2.0,2024,Stuttgart
13,25.11.2023,18:30,Bundesliga,Spielwoche 12,Sa.,Auswärts,S,2.0,1.0,Eint Frankfurt,2.3,0.9,43.0,58.0,Waldemar Anton,4-4-2,Felix Brych,Spielbericht,,11.0,4.0,173.0,0.0,0.0,0.0,2024,Stuttgart
14,02.12.2023,18:30,Bundesliga,Spielwoche 13,Sa.,Heim,S,2.0,0.0,Werder Bremen,3.5,0.8,58.0,54.5,Waldemar Anton,4-2-2-2,Bastian Dankert,Spielbericht,,18.0,5.0,156.0,0.0,1.0,1.0,2024,Stuttgart
16,10.12.2023,15:30,Bundesliga,Spielwoche 14,So.,Heim,U,1.0,1.0,Leverkusen,2.6,1.3,52.0,54.5,Waldemar Anton,4-2-3-1,Deniz Aytekin,Spielbericht,,22.0,10.0,201.0,1.0,0.0,0.0,2024,Stuttgart
17,17.12.2023,19:30,Bundesliga,Spielwoche 15,So.,Auswärts,N,0.0,3.0,Bayern München,0.4,2.8,62.0,75.0,Waldemar Anton,4-4-2,Tobias Stieler,Spielbericht,,6.0,2.0,170.0,0.0,0.0,0.0,2024,Stuttgart
18,20.12.2023,20:30,Bundesliga,Spielwoche 16,Mi.,Heim,S,3.0,0.0,Augsburg,2.6,0.2,66.0,53.6,Waldemar Anton,4-4-2,Daniel Siebert,Spielbericht,,17.0,8.0,177.0,0.0,0.0,0.0,2024,Stuttgart
19,14.01.2024,17:30,Bundesliga,Spielwoche 17,So.,Auswärts,N,1.0,3.0,M'Gladbach,0.9,1.9,71.0,53.429,Waldemar Anton,4-2-3-1,Harm Osmers,Spielbericht,,15.0,2.0,210.0,2.0,0.0,0.0,2024,Stuttgart
20,20.01.2024,15:30,Bundesliga,Spielwoche 18,Sa.,Auswärts,N,0.0,1.0,Bochum,1.4,0.9,62.0,26.0,Waldemar Anton,4-2-3-1,Bastian Dankert,Spielbericht,,19.0,5.0,142.0,0.0,0.0,0.0,2024,Stuttgart
21,27.01.2024,15:30,Bundesliga,Spielwoche 19,Sa.,Heim,S,5.0,2.0,RB Leipzig,2.2,0.4,54.0,52.1,Waldemar Anton,3-5-2,Sven Jablonski,Spielbericht,,17.0,8.0,191.0,0.0,1.0,1.0,2024,Stuttgart
22,03.02.2024,15:30,Bundesliga,Spielwoche 20,Sa.,Auswärts,S,3.0,1.0,Freiburg,1.7,0.7,65.0,34.7,Waldemar Anton,3-4-3,Daniel Siebert,Spielbericht,,17.0,9.0,177.0,0.0,0.0,0.0,2024,Stuttgart
24,11.02.2024,15:30,Bundesliga,Spielwoche 21,So.,Heim,S,3.0,1.0,Mainz 05,1.9,1.4,61.0,52.005,Waldemar Anton,4-2-3-1,Deniz Aytekin,Spielbericht,,11.0,7.0,149.0,0.0,0.0,0.0,2024,Stuttgart
25,17.02.2024,15:30,Bundesliga,Spielwoche 22,Sa.,Auswärts,S,2.0,1.0,Darmstadt 98,1.6,1.7,43.0,17.81,Waldemar Anton,4-2-3-1,Tobias Welz,Spielbericht,,14.0,4.0,171.0,0.0,0.0,0.0,2024,Stuttgart
26,24.02.2024,15:30,Bundesliga,Spielwoche 23,Sa.,Heim,U,1.0,1.0,Köln,2.2,0.7,74.0,54.5,Waldemar Anton,4-2-3-1,Patrick Ittrich,Spielbericht,,13.0,5.0,140.0,1.0,0.0,0.0,2024,Stuttgart
27,02.03.2024,18:30,Bundesliga,Spielwoche 24,Sa.,Auswärts,S,3.0,2.0,Wolfsburg,1.1,0.8,58.0,25.0,Waldemar Anton,3-4-3,Benjamin Brand,Spielbericht,,6.0,2.0,223.0,0.0,1.0,1.0,2024,Stuttgart
28,08.03.2024,20:30,Bundesliga,Spielwoche 25,Fr.,Heim,S,2.0,0.0,Union Berlin,1.0,0.9,70.0,53.8,Atakan Karazor,3-4-3,Robert Schröder,Spielbericht,,14.0,5.0,211.0,0.0,0.0,0.0,2024,Stuttgart
29,16.03.2024,18:30,Bundesliga,Spielwoche 26,Sa.,Auswärts,S,3.0,0.0,Hoffenheim,3.7,0.5,57.0,30.15,Waldemar Anton,3-4-3,Sascha Stegemann,Spielbericht,,25.0,11.0,175.0,0.0,0.0,0.0,2024,Stuttgart
30,31.03.2024,17:30,Bundesliga,Spielwoche 27,So.,Heim,U,3.0,3.0,Heidenheim,3.0,1.3,72.0,60.0,Waldemar Anton,4-2-2-2,Felix Zwayer,Spielbericht,,20.0,6.0,168.0,0.0,0.0,0.0,2024,Stuttgart
31,06.04.2024,18:30,Bundesliga,Spielwoche 28,Sa.,Auswärts,S,1.0,0.0,Dortmund,1.6,2.5,49.0,81.365,Atakan Karazor,3-4-3,Matthias Jöllenbeck,Spielbericht,,10.0,2.0,167.0,0.0,0.0,0.0,2024,Stuttgart
32,13.04.2024,18:30,Bundesliga,Spielwoche 29,Sa.,Heim,S,3.0,0.0,Eint Frankfurt,1.2,0.6,54.0,60.0,Waldemar Anton,4-2-3-1,Deniz Aytekin,Spielbericht,,9.0,6.0,163.0,0.0,0.0,0.0,2024,Stuttgart
33,21.04.2024,15:30,Bundesliga,Spielwoche 30,So.,Auswärts,N,1.0,2.0,Werder Bremen,2.2,1.5,69.0,42.1,Waldemar Anton,3-5-2,Robert Schröder,Spielbericht,,15.0,5.0,157.0,1.0,0.0,0.0,2024,Stuttgart
34,27.04.2024,18:30,Bundesliga,Spielwoche 31,Sa.,Auswärts,,,,Leverkusen,,,,,,,,Direkter Vergleich,,,,,,,,2024,Stuttgart
35,04.05.2024,15:30,Bundesliga,Spielwoche 32,Sa.,Heim,,,,Bayern München,,,,,,,,Direkter Vergleich,,,,,,,,2024,Stuttgart
36,10.05.2024,20:30,Bundesliga,Spielwoche 33,Fr.,Auswärts,,,,Augsburg,,,,,,,,Direkter Vergleich,,,,,,,,2024,Stuttgart
37,18.05.2024,15:30,Bundesliga,Spielwoche 34,Sa.,Heim,,,,M'Gladbach,,,,,,,,Direkter Vergleich,,,,,,,,2024,Stuttgart
1,19.08.2023,15:30,Bundesliga,Spielwoche 1,Sa.,Auswärts,N,2.0,3.0,Leverkusen,1.6,1.4,56.0,29.464,Willi Orban,4-2-2-2,Felix Brych,Spielbericht,,14.0,6.0,155.0,0.0,0.0,0.0,2024,RB Leipzig
